=== Spjall WebSocket Server ===
Listening on ws://0.0.0.0:8081
[<] ws_695144fc08b77: {"type":"ping","payload":{}}
[>] ws_695144fc08b77: {"type":"pong","payload":[]}
[<] ws_695144fc08b77: {"type":"ping","payload":{}}
[>] ws_695144fc08b77: {"type":"pong","payload":[]}
[<] ws_695144fc08b77: {"type":"ping","payload":{}}
[>] ws_695144fc08b77: {"type":"pong","payload":[]}
[<] ws_695144fc08b77: {"type":"ping","payload":{}}
[>] ws_695144fc08b77: {"type":"pong","payload":[]}
[<] ws_695144fc08b77: {"type":"ping","payload":{}}
[>] ws_695144fc08b77: {"type":"pong","payload":[]}
[<] ws_695144fc08b77: {"type":"ping","payload":{}}
[>] ws_695144fc08b77: {"type":"pong","payload":[]}
[<] ws_695144fc08b77: {"type":"ping","payload":{}}
[>] ws_695144fc08b77: {"type":"pong","payload":[]}
[<] ws_695144fc08b77: {"type":"ping","payload":{}}
[>] ws_695144fc08b77: {"type":"pong","payload":[]}
[<] ws_695144fc08b77: {"type":"ping","payload":{}}
[>] ws_695144fc08b77: {"type":"pong","payload":[]}
[<] ws_695144fc08b77: {"type":"ping","payload":{}}
[>] ws_695144fc08b77: {"type":"pong","payload":[]}
[<] ws_695144fc08b77: {"type":"ping","payload":{}}
[>] ws_695144fc08b77: {"type":"pong","payload":[]}
[<] ws_695144fc08b77: {"type":"ping","payload":{}}
[>] ws_695144fc08b77: {"type":"pong","payload":[]}
[<] ws_695144fc08b77: {"type":"ping","payload":{}}
[>] ws_695144fc08b77: {"type":"pong","payload":[]}
[<] ws_695144fc08b77: {"type":"ping","payload":{}}
[>] ws_695144fc08b77: {"type":"pong","payload":[]}
[<] ws_695144fc08b77: {"type":"ping","payload":{}}
[>] ws_695144fc08b77: {"type":"pong","payload":[]}
[<] ws_695144fc08b77: {"type":"ping","payload":{}}
[>] ws_695144fc08b77: {"type":"pong","payload":[]}
[<] ws_695144fc08b77: {"type":"ping","payload":{}}
[>] ws_695144fc08b77: {"type":"pong","payload":[]}
[<] ws_695144fc08b77: {"type":"ping","payload":{}}
[>] ws_695144fc08b77: {"type":"pong","payload":[]}
[<] ws_695144fc08b77: {"type":"ping","payload":{}}
[>] ws_695144fc08b77: {"type":"pong","payload":[]}
[<] ws_695144fc08b77: {"type":"ping","payload":{}}
[>] ws_695144fc08b77: {"type":"pong","payload":[]}
[<] ws_695144fc08b77: {"type":"ping","payload":{}}
[>] ws_695144fc08b77: {"type":"pong","payload":[]}
[<] ws_695144fc08b77: {"type":"ping","payload":{}}
[>] ws_695144fc08b77: {"type":"pong","payload":[]}
[-] Disconnected: ws_695144fc08b77
[>] ws_695144fc08b77: {"type":"user_offline","payload":{"user_id":1}}
